Andrea Chiesa	595px long edge is below the 600px floor
Andrea de Cesaris	335px long edge is below the 600px floor
Domenico Schiattarella	400px long edge is below the 600px floor
Eric van de Poele	347px long edge is below the 600px floor
Gregor Foitek	no curated image
Jean-Marc Gounon	427px long edge is below the 600px floor
Julian Bailey	no curated image
Jyrki Järvilehto	480px long edge is below the 600px floor
Marco Apicella	no curated image
Massimiliano Papis	298px long edge is below the 600px floor
Michael Andretti	599px long edge is below the 600px floor
Norberto Fontana	no curated image
Paolo Barilla	no curated image
Paul Belmondo	no curated image
Perry McCarthy	512px long edge is below the 600px floor
Roland Ratzenberger	455px long edge is below the 600px floor
Éric Bernard	no curated image
